"# of Workloads"	"Database size"	"Data size"	"Index size"	"# of Users"
20	48.60937500 38.17187500 10.43750000 2000
30	73.54687500 58.62500000 14.92187500 3000
40	96.50000000 76.84375000 19.65625000 4000
50	113.26562500 91.10937500 22.15625000 5000
60	129.82812500 105.18750000 24.64062500 6000
70	157.50000000 127.34375000 30.15625000 7000
80	175.85937500 142.39062500 33.46875000 8000
90	194.14062500 158.48437500 35.65625000 9000
100	212.31250000 173.51562500 38.79687500 10000
110	234.57812500 192.59375000 41.98437500 11000
120	250.59375000 204.57812500 46.01562500 12000
130	260.89062500 211.59375000 49.29687500 13000
140	267.07812500 216.65625000 50.42187500 14000
150	293.31250000 237.62500000 55.68750000 15000
160	306.59375000 249.65625000 56.93750000 16000
170	323.68750000 263.68750000 60.00000000 17000
180	321.67187500 260.68750000 60.98437500 18000
190	340.67187500 279.71875000 60.95312500 19000
200	359.84375000 297.71875000 62.12500000 20000
210	361.82812500 295.78125000 66.04687500 21000
220	378.82812500 310.78125000 68.04687500 22000
230	386.92187500 317.84375000 69.07812500 23000
240	391.90625000 318.79687500 73.10937500 24000
250	393.93750000 320.76562500 73.17187500 25000
260	403.95312500 330.78125000 73.17187500 26000
270	422.09375000 348.87500000 73.21875000 27000
280	436.07812500 360.84375000 75.23437500 28000
290	428.06250000 350.90625000 77.15625000 29000
300	453.25000000 376.90625000 76.34375000 30000
310	444.20312500 366.84375000 77.35937500 31000
320	455.35937500 375.93750000 79.42187500 32000
330	454.32812500 377.92187500 76.40625000 33000
340	470.50000000 386.95312500 83.54687500 34000
350	480.48437500 402.04687500 78.43750000 35000
360	477.45312500 395.92187500 81.53125000 36000
370	488.45312500 407.03125000 81.42187500 37000
380	493.59375000 411.06250000 82.53125000 38000
390	505.56250000 419.98437500 85.57812500 39000
400	508.50000000 423.93750000 84.56250000 40000
410	510.62500000 423.96875000 86.65625000 41000
420	519.68750000 432.03125000 87.65625000 42000
430	524.51562500 431.98437500 92.53125000 43000
440	527.56250000 436.96875000 90.59375000 44000
450	530.62500000 437.98437500 92.64062500 45000
460	543.67187500 448.07812500 95.59375000 46000
470	553.85937500 459.15625000 94.70312500 47000
480	550.68750000 453.04687500 97.64062500 48000
490	551.76562500 454.06250000 97.70312500 49000
500	565.67187500 468.00000000 97.67187500 50000
510	570.71875000 470.03125000 100.68750000 51000
520	568.76562500 470.10937500 98.65625000 52000
530	565.68750000 469.06250000 96.62500000 53000
540	582.65625000 485.07812500 97.57812500 54000
550	587.79687500 488.12500000 99.67187500 55000
560	587.76562500 489.12500000 98.64062500 56000
570	589.81250000 488.12500000 101.68750000 57000
580	586.81250000 487.15625000 99.65625000 58000
590	587.67187500 488.06250000 99.60937500 59000
600	602.82812500 502.09375000 100.73437500 60000
610	603.76562500 503.10937500 100.65625000 61000
620	612.85937500 508.10937500 104.75000000 62000
630	606.82812500 505.10937500 101.71875000 63000
640	618.85937500 517.14062500 101.71875000 64000
650	627.87500000 526.15625000 101.71875000 65000
660	620.81250000 517.10937500 103.70312500 66000
670	616.85937500 511.12500000 105.73437500 67000
680	622.84375000 515.12500000 107.71875000 68000
690	642.84375000 537.14062500 105.70312500 69000
700	640.93750000 532.18750000 108.75000000 70000
710	635.87500000 526.18750000 109.68750000 71000
720	649.82812500 541.14062500 108.68750000 72000
730	649.93750000 540.21875000 109.71875000 73000
740	655.87500000 547.17187500 108.70312500 74000
750	663.92187500 554.20312500 109.71875000 75000
760	663.84375000 551.14062500 112.70312500 76000
770	677.89062500 564.20312500 113.68750000 77000
780	669.01562500 555.26562500 113.75000000 78000
790	672.00000000 556.26562500 115.73437500 79000
800	668.95312500 552.21875000 116.73437500 80000
810	697.92187500 578.20312500 119.71875000 81000
820	687.96875000 567.23437500 120.73437500 82000
830	694.03125000 573.28125000 120.75000000 83000
840	697.93750000 574.21875000 123.71875000 84000
850	706.85937500 585.20312500 121.65625000 85000
860	712.93750000 585.25000000 127.68750000 86000
870	716.95312500 590.26562500 126.68750000 87000
880	717.06250000 588.23437500 128.82812500 88000
890	725.00000000 597.26562500 127.73437500 89000
900	727.98437500 600.23437500 127.75000000 90000
910	734.03125000 603.28125000 130.75000000 91000
920	735.96875000 602.25000000 133.71875000 92000
930	735.03125000 603.28125000 131.75000000 93000
940	747.06250000 615.28125000 131.78125000 94000
950	744.10937500 609.31250000 134.79687500 95000
960	751.01562500 618.20312500 132.81250000 96000
970	751.00000000 616.26562500 134.73437500 97000
980	767.12500000 631.32812500 135.79687500 98000
990	763.14062500 628.35937500 134.78125000 99000
1000	775.06250000 637.25000000 137.81250000 100000
